,cnn_s,lstm_s,random_forest_s,rnn_s,xgboost_s
0,0.10286035388708115,0.014182421378791332,0.04004500436185968,0.02937919832766056,0.08825516700744629
1,0.06394661962985992,0.012403659522533417,0.04575486684725893,0.010420789942145348,0.09076046198606491
2,0.1247602105140686,0.03276773542165756,0.04726528418614899,0.044519200921058655,0.08886151015758514
3,0.11004816740751266,0.02090396173298359,0.039110996358825166,0.028726032003760338,0.09044409543275833
4,0.1751174032688141,0.03395557031035423,0.04319055924866045,0.02900094911456108,0.08961863815784454
5,0.128346785902977,0.016085010021924973,0.037907758699788234,0.029403366148471832,0.08984872698783875
6,0.07777667790651321,0.023909861221909523,0.040515849898275225,0.03204131871461868,0.09027057141065598
7,0.07811358571052551,0.03510725125670433,0.041710608516736365,0.06834053993225098,0.08970626443624496
8,0.24518567323684692,0.025325685739517212,0.03861520268061293,0.047505658119916916,0.09257950633764267
9,0.02592688798904419,0.019504064694046974,0.0522503401094873,0.02181333675980568,0.0889417827129364
10,0.0510406531393528,0.02567356266081333,0.044141076692997314,0.03012353926897049,0.0897940918803215
11,0.3407421112060547,0.029100682586431503,0.04351057394813551,0.025643303990364075,0.09292606264352798
12,0.3425678312778473,0.03667795658111572,0.04487148289354507,0.04060102254152298,0.08998218923807144
13,0.14573349058628082,0.03805052861571312,0.045550236928862516,0.044053275138139725,0.08892126381397247
14,0.06613205373287201,0.0313691645860672,0.03628674705325612,0.039856746792793274,0.08963944017887115
